"","MAP","lower-95pcHPD","upper-95pcHPD"
"durn-difference",0.643949306083082,-1.70341692081937,3.02351427196944
"durn-ratio",1.03553519341978,0.908518312733322,1.16525875190586
"single",18.4574911709985,17.00156061952,19.8879967857184
"multi",19.1014404770816,16.7145490412734,21.7069024662953
