video_path,annotation_id,Sampling minute,timestamp from camera,start_timestamp,start_framenumber,end_timestamp,end_framenumber,no. of flying bats,bat behaviour,"strength (1 - strong, 0-weak)","weak in (Behaviour Be, Number Bn)",Comments,Details on the comment,annotator
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_1,1,2,2018-08-17 01:01:41,14,2018-08-17 01:01:42,24,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_2,1,2,2018-08-17 01:01:50,13,2018-08-17 01:01:52,12,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_3,2,2,2018-08-17 01:02:11,6,2018-08-17 01:02:14,1,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_4,2,2,2018-08-17 01:02:48,12,2018-08-17 01:02:54,10,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_5,5,2,2018-08-17 01:05:58,25,2018-08-17 01:06:08,25,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_6,6,2,2018-08-17 01:06:33,21,2018-08-17 01:06:34,13,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_7,7,2,2018-08-17 01:07:49,11,2018-08-17 01:07:51,1,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_8,9,2,2018-08-17 01:09:21,9,2018-08-17 01:09:21,21,1.0,,1.0,,The bat has only exited out of the camera view and not the cave. Thus could be echolocating more,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_9,9,2,2018-08-17 01:09:37,10,2018-08-17 01:09:40,1,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_10,11,2,2018-08-17 01:11:19,23,2018-08-17 01:11:20,15,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_11,12,2,2018-08-17 01:12:16,23,2018-08-17 01:12:19,8,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_12,12,2,2018-08-17 01:12:22,19,2018-08-17 01:12:24,3,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_13,12,2,2018-08-17 01:12:47,17,2018-08-17 01:12:48,10,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_14,14,2,2018-08-17 01:14:42,11,2018-08-17 01:14:43,11,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_15,15,2,2018-08-17 01:15:10,2,2018-08-17 01:15:15,3,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_16,15,2,2018-08-17 01:15:19,7,2018-08-17 01:15:20,3,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_17,15,2,2018-08-17 01:15:47,15,2018-08-17 01:15:47,24,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_18,15,2,2018-08-17 01:15:49,13,2018-08-17 01:15:49,23,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_19,15,2,2018-08-17 01:15:50,11,2018-08-17 01:15:51,23,1.0,,1.0,,,,Aditya
OrlovaChukaDome_02_20180817_01.00.00-02.00.00[R][@16f5][0],Aditya_2018-08-17_12_20,15,2,2018-08-17 01:15:52,20,2018-08-17 01:15:53,25,1.0,,1.0,,,,Aditya
