,audio_file,detections_to_keep
0,matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,"(1,2,3,4,5,6,7,8,9)"
1,matching_annotaudio_Aditya_2018-08-16_21502300_101_hp,"(0,1,3)"
2,matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,"(0,1,2)"
3,matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,"(0,3,4,5,6,7,8,9,10)"
4,matching_annotaudio_Aditya_2018-08-16_21502300_108_hp,()
5,matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,"(1,2,3)"
6,matching_annotaudio_Aditya_2018-08-16_21502300_111_hp,"(0,2)"
7,matching_annotaudio_Aditya_2018-08-16_21502300_18_hp,"(0,1,2)"
8,matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,(1)
9,matching_annotaudio_Aditya_2018-08-16_21502300_22_hp,(1)
10,matching_annotaudio_Aditya_2018-08-16_21502300_24_hp,(0)
11,matching_annotaudio_Aditya_2018-08-16_21502300_25_hp,(0)
12,matching_annotaudio_Aditya_2018-08-16_21502300_28_hp,()
13,matching_annotaudio_Aditya_2018-08-16_21502300_30_hp,"(1,3,4,5)"
14,matching_annotaudio_Aditya_2018-08-16_21502300_32_hp,"(2,3)"
15,matching_annotaudio_Aditya_2018-08-16_21502300_33_hp,"(1,2)"
16,matching_annotaudio_Aditya_2018-08-16_21502300_39_hp,()
17,matching_annotaudio_Aditya_2018-08-16_21502300_40_hp,"(2,3)"
18,matching_annotaudio_Aditya_2018-08-16_21502300_43_hp,()
19,matching_annotaudio_Aditya_2018-08-16_21502300_46_hp,"(1,2)"
20,matching_annotaudio_Aditya_2018-08-16_21502300_47_hp,"(0,4)"
21,matching_annotaudio_Aditya_2018-08-16_21502300_62_hp,"(2,3,4)"
22,matching_annotaudio_Aditya_2018-08-16_21502300_70_hp,(0)
23,matching_annotaudio_Aditya_2018-08-16_21502300_73_hp,"(1,2,3)"
24,matching_annotaudio_Aditya_2018-08-16_21502300_74_hp,(1)
25,matching_annotaudio_Aditya_2018-08-16_21502300_98_hp,"(0,1,2)"
26,matching_annotaudio_Aditya_2018-08-16_2324_117_hp,()
27,matching_annotaudio_Aditya_2018-08-16_2324_128_hp,()
28,matching_annotaudio_Aditya_2018-08-16_2324_143_hp,"(0,1,2,3,4)"
29,matching_annotaudio_Aditya_2018-08-16_2324_15_hp,(0)
30,matching_annotaudio_Aditya_2018-08-16_2324_154_hp,"(0,1,2)"
31,matching_annotaudio_Aditya_2018-08-16_2324_156_hp,(2)
32,matching_annotaudio_Aditya_2018-08-16_2324_159_hp,"(0,4,5)"
33,matching_annotaudio_Aditya_2018-08-16_2324_179_hp,(0)
34,matching_annotaudio_Aditya_2018-08-16_2324_180_hp,"(0,1,2)"
35,matching_annotaudio_Aditya_2018-08-16_2324_182_hp,()
36,matching_annotaudio_Aditya_2018-08-16_2324_196_hp,"(0,1)"
37,matching_annotaudio_Aditya_2018-08-16_2324_198_hp,(1)
38,matching_annotaudio_Aditya_2018-08-16_2324_20_hp,"(1,5,6,7)"
39,matching_annotaudio_Aditya_2018-08-16_2324_202_hp,()
40,matching_annotaudio_Aditya_2018-08-16_2324_207_hp,"(0,3)"
41,matching_annotaudio_Aditya_2018-08-16_2324_208_hp,()
42,matching_annotaudio_Aditya_2018-08-16_2324_211_hp,"(3,4,6,7,8)"
43,matching_annotaudio_Aditya_2018-08-16_2324_212_hp,()
44,matching_annotaudio_Aditya_2018-08-16_2324_218_hp,()
45,matching_annotaudio_Aditya_2018-08-16_2324_219_hp,(1)
46,matching_annotaudio_Aditya_2018-08-16_2324_22_hp,"(3,4)"
47,matching_annotaudio_Aditya_2018-08-16_2324_223_hp,"(1,3,5)"
48,matching_annotaudio_Aditya_2018-08-16_2324_23_hp,"(1,3)"
49,matching_annotaudio_Aditya_2018-08-16_2324_236_hp,"(0,1)"
50,matching_annotaudio_Aditya_2018-08-16_2324_248_hp,"(2,4)"
51,matching_annotaudio_Aditya_2018-08-16_2324_255_hp,(1)
52,matching_annotaudio_Aditya_2018-08-16_2324_256_hp,"(0,1,2,3,4,5,6)"
53,matching_annotaudio_Aditya_2018-08-16_2324_26_hp,()
54,matching_annotaudio_Aditya_2018-08-16_2324_260_hp,(0)
55,matching_annotaudio_Aditya_2018-08-16_2324_28_hp,"(4,5)"
56,matching_annotaudio_Aditya_2018-08-16_2324_280_hp,(0)
57,matching_annotaudio_Aditya_2018-08-16_2324_285_hp,()
58,matching_annotaudio_Aditya_2018-08-16_2324_287_hp,"(1,2,3)"
59,matching_annotaudio_Aditya_2018-08-16_2324_30_hp,"(2,3)"
60,matching_annotaudio_Aditya_2018-08-16_2324_31_hp,(1)
61,matching_annotaudio_Aditya_2018-08-16_2324_41_hp,()
62,matching_annotaudio_Aditya_2018-08-16_2324_59_hp,()
63,matching_annotaudio_Aditya_2018-08-16_2324_61_hp,"(0,1,2)"
64,matching_annotaudio_Aditya_2018-08-16_2324_68_hp,(0)
65,matching_annotaudio_Aditya_2018-08-16_2324_69_hp,"(3,4,5,6)"
66,matching_annotaudio_Aditya_2018-08-16_2324_7_hp,"(3,4)"
67,matching_annotaudio_Aditya_2018-08-16_2324_85_hp,"(2,3)"
68,matching_annotaudio_Aditya_2018-08-16_2324_88_hp,(0)
69,matching_annotaudio_Aditya_2018-08-16_2324_90_hp,"(0,2,3,4,7)"
70,matching_annotaudio_Aditya_2018-08-16_2324_91_hp,"(1,2)"
71,matching_annotaudio_Aditya_2018-08-16_2324_94_hp,"(0,2,4,5)"
72,matching_annotaudio_Aditya_2018-08-16_2324_95_hp,()
73,matching_annotaudio_Aditya_2018-08-17_01_10_hp,(0)
74,matching_annotaudio_Aditya_2018-08-17_01_13_hp,"(0,1)"
75,matching_annotaudio_Aditya_2018-08-17_01_28_hp,(0)
76,matching_annotaudio_Aditya_2018-08-17_01_33_hp,"(0,1,2)"
77,matching_annotaudio_Aditya_2018-08-17_01_34_hp,"(0,1)"
78,matching_annotaudio_Aditya_2018-08-17_01_36_hp,()
79,matching_annotaudio_Aditya_2018-08-17_01_37_hp,(0)
