,ifm_peak_frequency,ifm_stop,ifm_peak_freq_resolution,ifm_rms,ifm_region_id,ifm_peak_amplitude,ifm_start,ifm_terminal_frequency,ifm_duration,cf_peak_frequency,cf_stop,cf_peak_freq_resolution,cf_rms,cf_region_id,cf_peak_amplitude,cf_start,cf_terminal_frequency,cf_duration,tfm_peak_frequency,tfm_stop,tfm_peak_freq_resolution,tfm_rms,tfm_region_id,tfm_peak_amplitude,tfm_start,tfm_terminal_frequency,tfm_duration,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution,ifm-cf_dbratio,tfm-cf_dbratio,ifm-peak_db,tfm-peak_db,tfm_dbrms,ifm_dbrms,cf_dbrms,cf-peak_db
0,103470.43701799486,0.001556,1282.051282051282,0.12597613578698727,fm1,0.25933837890625,0.0,93830.33419023137,0.001556,105876.33553080246,0.019152000000000002,113.63636363636364,0.1724717169934754,cf1,0.406402587890625,0.001556,105705.84223687203,0.017596,93267.88218793827,0.022004,700.2801120448178,0.06158563532098237,fm2,0.110443115234375,0.019152000000000002,92566.61991584854,0.002852,segment_matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,-10,Aditya_2018-08-16_21502300_100,2,,,,-2.7285920857297223,-8.944769217860493,-11.722664164124446,-19.13722703703037,-24.210411480195788,-17.99423434806502,-15.265642262335295,-7.820870704293777
1,107476.6355140187,0.002048,4629.62962962963,0.009963750014004584,fm1,0.0198974609375,0.00162,102803.73831775703,0.00042800000000000005,108090.18567639258,0.020144,110.4728236853734,0.07179725595825982,cf1,0.142852783203125,0.002048,107869.14235190097,0.018096,91098.16971713812,0.022548,830.5647840531561,0.0282424175003594,fm2,0.0604248046875,0.020144,89018.30282861898,0.002404,segment_matching_annotaudio_Aditya_2018-08-16_21502300_101_hp,-10,Aditya_2018-08-16_21502300_101,1,,,,-17.15370046749348,-8.104119546446084,-34.024046784555956,-24.375694893963736,-30.981962623984195,-40.03154354503159,-22.87784307753811,-16.902225876645517
2,,,,,,,,,,105379.9947767041,0.016604,130.54830287206266,0.025482519344664382,cf1,0.052093505859375,0.001288,105184.12118046486,0.015316,103675.4507628294,0.019488,692.5207756232687,0.015163151758899544,fm1,0.0428466796875,0.016604,88765.60332871012,0.002884,segment_matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,-10,Aditya_2018-08-16_21502300_102,1,,,,,-4.509057619675175,,-27.36165654331863,-36.38421036823176,,-31.875152748556594,-25.66432827689969
3,103211.00917431193,0.002412,1141.552511415525,0.14970786853880247,fm1,0.26312255859375,0.000668,95756.88073394496,0.001744,107096.35416666669,0.017772,130.1405517959396,0.268992377568324,cf1,0.44232177734375,0.002412,106966.14583333334,0.015359999999999999,102966.84118673648,0.020064,871.0801393728223,0.17580923579717914,fm2,0.301177978515625,0.017772,92059.33682373473,0.002292,segment_matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,-10,Aditya_2018-08-16_21502300_104,1,,,,-5.089906928629176,-3.6939657485481447,-11.596838328836974,-10.423535719730951,-15.099166276895392,-16.495107456976424,-11.405200528347246,-7.08523355954917
4,106060.60606060603,0.001236,1677.8523489932886,0.011683159813738929,fm1,0.0228271484375,4.8e-05,99326.59932659932,0.001188,106848.91240446796,0.014844,146.88601645123384,0.028760863238608093,cf1,0.0535888671875,0.001236,106701.94003527338,0.013608000000000002,103195.16407599306,0.017159999999999998,862.0689655172414,0.01918519491480509,fm2,0.046630859375,0.014844,97150.25906735752,0.002316,segment_matching_annotaudio_Aditya_2018-08-16_21502300_108_hp,-10,Aditya_2018-08-16_21502300_108,2,,,,-6.331957955223118,-8.414054442469025,-27.19013833975762,-30.413859807441796,-37.55891717240714,-35.47682068516123,-29.14486272993811,-22.965608928500743
5,,,,,,,,,,105551.82449070962,0.018824,111.9068934646374,0.04206609157944563,cf1,0.0931396484375,0.000956,105383.92657264383,0.017868000000000002,102699.53051643193,0.020528,1168.2242990654206,0.021300936332128883,fm1,0.04791259765625,0.018824,92136.15023474178,0.001704,segment_matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,-10,Aditya_2018-08-16_21502300_110,1,,,,-7.824831990643496,-3.5167140227524945,-32.83096674190513,-26.626531614400935,-34.34067568329372,-38.64879365118472,-30.823961660541226,-25.418508467792684
6,102905.56900726394,0.002592,1207.729468599034,0.017872060238507834,fm1,0.041412353515625,0.0009400000000000001,95036.3196125908,0.001652,105508.72968091512,0.015880000000000002,150.42117930204572,0.03980260410776258,cf1,0.0709228515625,0.002592,105358.2179409994,0.013288,103370.78651685393,0.01766,1121.0762331838564,0.019298247559797047,fm2,0.044189453125,0.015880000000000002,94943.82022471912,0.0017800000000000001,segment_matching_annotaudio_Aditya_2018-08-16_21502300_111_hp,-10,Aditya_2018-08-16_21502300_111,1,,,,,-5.910669373816918,,-26.39100565100968,-33.43202611438094,,-27.521356740564023,-20.617308113537504
7,,,,,,,,,,105608.94292998627,0.022008,98.0392156862745,0.04776714816066214,cf1,0.103302001953125,0.0016120000000000002,105559.91370857033,0.020396,105332.16783216783,0.024296,871.0801393728223,0.01796896657613135,fm1,0.0487060546875,0.022008,87412.58741258741,0.002288,segment_matching_annotaudio_Aditya_2018-08-16_21502300_18_hp,-10,Aditya_2018-08-16_21502300_18,1,,,,-6.954737347654676,-6.287872273803108,-27.657401745999618,-27.093627461971796,-34.289642534523196,-34.956507608374764,-28.001770260720082,-22.984276224828495
8,106617.64705882351,0.000916,2427.184466019417,0.006330016094156565,fm1,0.01220703125,0.0001,99264.70588235294,0.000816,108651.68539325843,0.018716,112.30907457322552,0.01460845304266451,cf1,0.03192138671875,0.000916,108539.32584269663,0.0178,97593.58288770054,0.020212,1329.7872340425529,0.017439387226466457,fm2,0.04351806640625,0.018716,89572.19251336901,0.0014960000000000002,segment_matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,-10,Aditya_2018-08-16_21502300_20,1,,,,,-8.492124250764801,,-26.248340958900144,-34.909537982794674,,-26.417413732029868,-19.717825238771095
9,105888.42975206609,0.001936,1028.80658436214,0.017798727969013346,fm1,0.05047607421875,0.0,103305.78512396694,0.001936,107653.43440388324,0.062091999999999994,33.244680851063826,0.14929682913702222,cf1,0.314453125,0.001936,107620.1875124676,0.060155999999999994,105345.91194968554,0.064,1046.0251046025103,0.015075461352218229,fm2,0.045166015625,0.062091999999999994,102725.36687631028,0.0019079999999999998,segment_matching_annotaudio_Aditya_2018-08-16_21502300_22_hp,-10,Aditya_2018-08-16_21502300_22,1,,,,-7.2639882935793745,1.5385398403541615,-38.26779887263511,-27.226608188877425,-35.169375581692506,-43.97190371562604,-36.70791542204667,-29.91836500856925
10,103855.72139303484,0.002344,1237.6237623762374,0.02031066394797113,fm1,0.042266845703125,0.000736,92039.8009950249,0.0016079999999999998,105401.0695187166,0.021044,106.92899914456801,0.03912734247212378,cf1,0.07415771484375,0.002344,105133.68983957221,0.0187,105300.85959885387,0.023836000000000003,714.2857142857142,0.024684871374433228,fm2,0.059783935546875,0.021044,90616.04584527221,0.002792,segment_matching_annotaudio_Aditya_2018-08-16_21502300_24_hp,-10,Aditya_2018-08-16_21502300_24,1,,,,-18.47323237054851,-19.915599446529527,-25.9382885948638,-26.903764391295212,-36.43458776663287,-34.99222069065185,-16.518988320103347,-10.048881698879622
11,102594.3396226415,0.0020440000000000002,1173.7089201877934,0.007325426637866852,fm1,0.01971435546875,0.000348,96108.49056603774,0.001696,103294.57364341084,0.022684,96.86168151879116,0.02035695925333897,cf1,0.037445068359375,0.0020440000000000002,103439.92248062015,0.020640000000000002,103838.58267716537,0.024716,980.3921568627452,0.007348096777440075,fm2,0.019989013671875,0.022684,95472.44094488188,0.002032,segment_matching_annotaudio_Aditya_2018-08-16_21502300_25_hp,-10,Aditya_2018-08-16_21502300_25,1,,,,-5.695124621489818,-4.0009896610688855,-27.48000323118501,-24.46830997929963,-32.15138262837405,-33.845517588794976,-28.150392967305162,-22.596873227228116
12,,,,,,,,,,104831.1444652908,0.026284,78.14942169427947,0.015824242305162085,cf1,0.032867431640625,0.0007,104713.88367729832,0.025584,103729.60372960372,0.027999999999999997,1162.7906976744189,0.008471267485265202,fm1,0.01947021484375,0.026284,92074.59207459207,0.001716,segment_matching_annotaudio_Aditya_2018-08-16_21502300_28_hp,-10,Aditya_2018-08-16_21502300_28,1,,,,-8.877599679628775,-8.850760796899666,-34.10434833929268,-33.9841726993587,-42.676502649852026,-42.70334153258113,-33.82574185295235,-28.532107444654272
13,102112.67605633805,0.0023120000000000003,1404.4943820224719,0.014604191647460378,fm1,0.03216552734375,0.000892,91549.2957746479,0.0014199999999999998,102798.55915766141,0.016748,138.50415512465375,0.030730190310537118,cf1,0.053802490234375,0.0023120000000000003,102798.55915766141,0.014436000000000001,101391.65009940356,0.01876,992.0634920634919,0.01681463894727106,fm2,0.033782958984375,0.016748,85984.09542743539,0.002012,segment_matching_annotaudio_Aditya_2018-08-16_21502300_30_hp,-10,Aditya_2018-08-16_21502300_30,1,,,,-8.868356494433883,-5.532787100319699,-30.171124540236352,-24.724788447166457,-32.53869444681679,-35.87426384093098,-27.005907346497096,-21.601668566941132
14,108058.60805860806,0.001256,1824.8175182481752,0.011764266508987731,fm1,0.024261474609375,0.000164,101648.35164835166,0.001092,108382.84083018287,0.0531,38.574294090418135,0.058434533719928634,cf1,0.12249755859375,0.001256,108344.26355991053,0.05184400000000001,106940.5099150142,0.054512,1412.4293785310736,0.02427285642568219,fm2,0.045379638671875,0.0531,101274.78753541078,0.0014119999999999998,segment_matching_annotaudio_Aditya_2018-08-16_21502300_32_hp,-10,Aditya_2018-08-16_21502300_32,1,,,,,-5.427490585577958,,-34.21258512477111,-41.44103209876012,,-36.013541513182155,-29.664684633234728
