,domfreq_range,source
0,0.9499999999999886,observed
1,0.8700000000000045,observed
2,0.020000000000010232,observed
3,1.769999999999996,observed
4,0.9000000000000057,observed
5,0.20000000000000284,observed
6,0.5799999999999983,observed
7,0.8999999999999915,observed
8,1.1999999999999886,observed
9,1.0100000000000051,observed
10,1.019999999999996,observed
11,0.4099999999999966,observed
12,0.9699999999999989,observed
13,1.519999999999996,observed
14,0.9200000000000017,observed
15,1.8900000000000006,observed
16,1.6400000000000006,observed
17,0.1600000000000108,observed
18,1.9399999999999977,observed
19,1.769999999999996,observed
20,2.280000000000001,observed
21,1.4200000000000017,observed
22,1.3199999999999932,observed
23,2.3400000000000034,observed
24,1.3200000000000074,observed
25,1.0900000000000034,observed
26,1.1200000000000045,observed
27,1.240000000000009,observed
28,0.7199999999999989,observed
29,0.3299999999999983,observed
30,0.7199999999999989,observed
31,1.3599999999999994,observed
32,1.4000000000000057,observed
33,0.6799999999999926,observed
34,0.5,observed
35,1.25,observed
36,0.4200000000000017,observed
37,0.7599999999999909,observed
38,1.0,observed
39,2.700000000000003,observed
40,0.35999999999999943,observed
41,1.5999999999999943,observed
42,1.2000000000000028,observed
43,0.8199999999999932,observed
44,0.4299999999999926,observed
45,0.8799999999999955,observed
46,0.8599999999999994,observed
47,0.21000000000000796,observed
48,0.3500000000000085,observed
49,0.14999999999999147,observed
50,2.1000000000000085,observed
51,0.8199999999999932,observed
52,0.29999999999999716,observed
53,2.1400000000000006,observed
54,2.280000000000001,observed
55,1.4200000000000017,observed
56,2.3200000000000074,observed
57,1.9399999999999977,observed
58,1.9000000000000057,observed
59,2.200000000000003,observed
60,1.0300000000000011,observed
61,0.8199999999999932,observed
62,0.4899999999999949,observed
63,0.20000000000000284,observed
64,0.06999999999999318,observed
65,0.06999999999999318,observed
66,0.39000000000000057,observed
67,0.1799999999999926,observed
68,0.7800000000000011,observed
69,0.10000000000000853,observed
70,1.0,observed
71,1.0600000000000023,observed
72,0.9099999999999966,observed
73,0.539999999999992,observed
74,2.1599999999999966,observed
75,0.060000000000002274,observed
76,1.3799999999999955,observed
77,1.3200000000000074,observed
78,0.1599999999999966,observed
79,1.0999999999999943,observed
80,0.8400000000000034,observed
81,1.1700000000000017,observed
82,1.009999999999991,observed
83,2.3999999999999915,observed
84,1.6599999999999966,observed
85,1.7999999999999972,observed
86,2.280000000000001,observed
87,1.1999999999999886,observed
88,1.4099999999999966,observed
89,1.2000000000000028,observed
90,2.0600000000000023,observed
91,0.8400000000000034,observed
92,1.7800000000000011,observed
93,1.0100000000000051,observed
94,1.0400000000000063,observed
