,cf_duration,tfm_duration,ifm_duration,cf_peak_frequency,tfm_terminal_frequency,ifm_terminal_frequency,cf_dbrms,tfm_dbrms,ifm_dbrms,tfm-cf_dbratio,ifm-cf_dbratio,tfm_bw,ifm_bw,num_folds,interval
0,-3.2128999999999985,0.17200000000000015,-0.006000000000000005,0.2661441532347766,-1.7508170192083057,0.3405581638640179,-1.6721922308814392,-2.94433832255055,-1.6988451320270301,-1.1471428431287864,0.05016550889984517,1.8793886631140193,0.07826565658464801,23,6
1,-3.1259999999999994,0.20400000000000018,0.02000000000000024,0.29776978928876474,-1.5020092129765743,0.6202440694365521,-1.5126206160443907,-2.5977046708275964,-1.2440687213865829,-1.0301767640800392,0.18082269543400287,2.0759189765824555,0.26143881100510846,23,6
2,-2.937999999999999,0.21050000000000008,0.024000000000000243,0.34183011337509794,-1.2702962926284016,0.8783267597626434,-1.3609648234634086,-2.4334050660712636,-0.8947815379627908,-0.9594394206772645,0.2771386814954857,2.187235565609104,0.990194808798716,23,6
0,-3.418000000000001,0.30400000000000005,0.016000000000000014,0.2955925904795009,-2.7702962677953025,0.10258728613160883,-1.603103743397412,-2.510746547196703,-2.786661103973543,-1.0394388942895798,-0.9106564229320195,2.945378567471625,-0.07312785635706831,105,60
1,-3.230000000000002,0.32800000000000007,0.07599999999999985,0.37260787502410153,-2.419525438070721,0.7250499970308226,-0.8919027136998352,-2.302562032102614,-1.9411269063507888,-0.9092540627074506,-0.6528643915283823,3.00638122498634,0.04934180632433538,105,60
2,-2.998000000000003,0.3436000000000001,0.12199999999999989,0.4461936204786525,-2.3366525268772307,1.3475127079300506,-0.08534487773419386,-1.0857598203054906,-1.4412766561686399,-0.7992641071462225,-0.3202269798647528,3.3465534174682325,0.3621689004136114,105,60
0,-4.368000000000002,0.33599999999999985,0.04200000000000004,0.7824476938424851,-3.489801954045646,1.0046744686575124,-0.9467220811711468,-0.638801034994124,0.7206786358836836,-1.049801274408189,-0.575129051899431,4.417169606596362,-1.184094964435797,168,300
1,-3.8919999999999995,0.3759999999999999,0.06400000000000006,1.093971588906939,-3.407979991113976,1.2400793650793815,0.1979620270998943,-0.5124039443321422,1.9853832432834224,-0.785697867648496,-0.2166170696287999,5.103482320076234,0.2730557185073703,168,300
2,-3.6639999999999997,0.4039999999999999,0.14494999999999988,1.44278125683023,-3.285534540390927,2.0392697537705686,1.0444017126957128,-0.4027216391709345,2.3341875751049628,-0.4351774388384113,0.20607469945029955,5.414169791278123,1.530377268313019,168,300
0,-4.596000000000002,0.30800000000000005,-0.03600000000000003,0.5256561933580599,-3.33129002309137,2.0145341875812335,0.8289959802246561,-4.526341826509622,3.259761993875614,-1.1355828998701956,0.20745197067633825,1.240947773972934,-2.7635173998619926,187,600
1,-3.067999999999998,0.35399999999999987,0.07799999999999985,0.6957453370277733,-2.432896851374224,2.584165386584729,1.9244693777647015,-2.408948902986097,5.356999690507358,-0.17520207661687692,0.9854417202514174,2.8140425262825737,-2.2175584872245153,187,600
2,-1.5399999999999991,0.40000000000000013,0.19619999999999987,0.8658344806974583,-1.5345036796570781,2.662435456110174,2.7030061626268207,-0.29155597946256506,6.5775378883442706,0.7107049161318966,1.2346133143614821,4.387137278592215,-1.0121147479351853,187,600
