,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,bca_low,bca_high,measurement,fold_number
0,False,True,False,0.0974,0.9765625,False,0.9765625,0.9765625,random_value,1
0,True,False,False,0.37,-1.220703125,False,-3.173828125,0.48828125,random_value,2
0,True,False,False,0.5678,-0.48828125,False,-3.41796875,0.9765625,random_value,3
0,False,False,True,0.1472,-0.48828125,False,-0.48828125,-0.48828125,random_value,4
0,True,False,False,0.3204,-0.9765625,False,-3.90625,0.9765625,random_value,5
0,True,False,False,0.5924,0.0,False,0.0,0.0,random_value,6
0,True,False,False,0.2146,-0.9765625,False,-3.41796875,0.9765625,random_value,7
0,True,False,False,0.1438,-0.9765625,False,-3.90625,0.0,random_value,8
0,True,False,False,0.8862,0.0,False,-1.953125,1.46484375,random_value,9
0,False,False,True,0.2444,-0.48828125,False,-0.48828125,-0.48828125,random_value,10
0,False,False,True,0.0682,-1.46484375,False,-3.90625,-0.9765625,random_value,11
0,True,False,False,0.1954,0.9765625,False,-0.9765625,2.44140625,random_value,12
0,True,False,False,0.212,-0.9765625,False,-3.41796875,0.0,random_value,13
0,True,False,False,0.4368,-0.244140625,False,-3.173828125,1.708984375,random_value,14
0,True,False,False,0.037,1.46484375,True,-0.9765625,2.44140625,random_value,15
0,True,False,False,0.217,0.9765625,False,-0.9765625,2.44140625,random_value,16
0,False,False,True,0.1936,-0.9765625,False,-0.9765625,-0.9765625,random_value,17
0,True,False,False,0.8472,0.0,False,-2.9296875,1.953125,random_value,18
0,False,True,False,0.3236,0.48828125,False,0.48828125,0.48828125,random_value,19
0,True,False,False,0.8378,0.0,False,-1.953125,1.46484375,random_value,20
0,True,False,False,0.6748,0.0,False,0.0,0.0,random_value,21
0,True,False,False,0.1048,-0.9765625,False,-3.90625,0.48828125,random_value,22
0,True,False,False,0.0576,2.197265625,False,-0.244140625,3.90625,random_value,23
0,True,False,False,0.4892,-0.244140625,False,-1.953125,1.46484375,random_value,24
0,True,False,False,0.3792,-0.9765625,False,-3.90625,0.9765625,random_value,25
0,True,False,False,0.7448,0.0,False,-2.44140625,1.953125,random_value,26
0,False,False,True,0.2236,-0.48828125,False,-0.48828125,-0.48828125,random_value,27
0,False,False,True,0.0154,-2.44140625,True,-4.39453125,-0.9765625,random_value,28
0,True,False,False,0.8456,0.0,False,-2.44140625,1.46484375,random_value,29
0,True,False,False,0.722,0.0,False,0.0,0.0,random_value,30
0,True,False,False,0.2474,-0.732421875,False,-2.9296875,0.48828125,random_value,31
0,True,False,False,0.2792,-0.48828125,False,-2.9296875,0.9765625,random_value,32
0,False,False,True,0.0304,-1.46484375,True,-4.8828125,-0.48828125,random_value,33
0,True,False,False,0.127,-1.220703125,False,-3.90625,0.244140625,random_value,34
0,False,False,True,0.1574,-1.46484375,False,-3.90625,-0.48828125,random_value,35
0,True,False,False,0.1686,-0.9765625,False,-3.90625,0.0,random_value,36
0,False,False,True,0.0536,-1.953125,False,-4.8828125,-0.9765625,random_value,37
0,True,False,False,0.7564,0.48828125,False,-2.44140625,2.44140625,random_value,38
0,True,False,False,0.003,2.44140625,True,0.0,4.39453125,random_value,39
0,False,False,True,0.0328,-1.953125,True,-3.41796875,-0.48828125,random_value,40
0,True,False,False,0.8368,0.0,False,-2.44140625,0.9765625,random_value,41
0,False,False,True,0.4466,-0.48828125,False,-0.48828125,-0.48828125,random_value,42
0,False,True,False,0.0178,1.46484375,True,1.46484375,1.46484375,random_value,43
