,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,measurement,fold_number
0,False,False,True,0.0908,-4.596000000000002,False,cf_duration,1
0,True,False,False,0.1412,0.3920000000000001,False,tfm_duration,1
0,True,False,False,0.8378,-0.03600000000000003,False,ifm_duration,1
0,True,False,False,0.224,0.5256561933580599,False,cf_peak_frequency,1
0,True,False,False,0.6518,-1.5345036796570781,False,tfm_terminal_frequency,1
0,True,False,False,0.2364,2.662435456110174,False,ifm_terminal_frequency,1
0,True,False,False,0.3788,2.103552452590314,False,cf_dbrms,1
0,True,False,False,0.1406,-4.526341826509622,False,tfm_dbrms,1
0,True,False,False,0.2268,5.356999690507358,False,ifm_dbrms,1
0,True,False,False,0.4356,-1.1355828998701956,False,tfm-cf_dbratio,1
0,True,False,False,0.49,0.9854417202514174,False,ifm-cf_dbratio,1
0,True,False,False,0.6486,1.240947773972934,False,tfm_bw,1
0,True,False,False,0.1842,-2.717412088074437,False,ifm_bw,1
0,False,False,True,0.064,-3.9559999999999977,False,cf_duration,2
0,True,False,False,0.1088,0.3920000000000001,False,tfm_duration,2
0,True,False,False,0.3708,0.20399999999999996,False,ifm_duration,2
0,True,False,False,0.1228,0.7853861075549133,False,cf_peak_frequency,2
0,True,False,False,0.1522,-3.239779057690484,False,tfm_terminal_frequency,2
0,True,False,False,0.2066,2.584165386584729,False,ifm_terminal_frequency,2
0,True,False,False,0.5372,1.7453863029390924,False,cf_dbrms,2
0,True,False,False,0.105,-4.399541511667721,False,tfm_dbrms,2
0,True,False,False,0.3548,4.422154968448893,False,ifm_dbrms,2
0,True,False,False,0.3504,-1.1355828998701956,False,tfm-cf_dbratio,2
0,True,False,False,0.5298,1.0403408064873032,False,ifm-cf_dbratio,2
0,True,False,False,0.0588,3.9945079788330347,False,tfm_bw,2
0,True,False,False,0.4122,-2.263663799012072,False,ifm_bw,2
0,True,False,False,0.2216,-3.067999999999998,False,cf_duration,3
0,True,False,False,0.2124,0.32199999999999984,False,tfm_duration,3
0,True,False,False,0.6894,0.07799999999999985,False,ifm_duration,3
0,True,False,False,0.1904,0.6197697796911257,False,cf_peak_frequency,3
0,True,False,False,0.3736,-2.432896851374224,False,tfm_terminal_frequency,3
0,True,False,False,0.3882,2.0145341875812335,False,ifm_terminal_frequency,3
0,True,False,False,0.4448,1.9244693777647015,False,cf_dbrms,3
0,True,False,False,0.259,-2.408948902986097,False,tfm_dbrms,3
0,True,False,False,0.2088,5.045977170184358,False,ifm_dbrms,3
0,True,False,False,0.8968,-0.17520207661687692,False,tfm-cf_dbratio,3
0,True,False,False,0.6316,0.5964468454638787,False,ifm-cf_dbratio,3
0,True,False,False,0.2178,2.8140425262825737,False,tfm_bw,3
0,True,False,False,0.3878,-2.2175584872245153,False,ifm_bw,3
0,True,False,False,0.21,-3.7020000000000017,False,cf_duration,4
0,True,False,False,0.1792,0.3859999999999997,False,tfm_duration,4
0,True,False,False,0.6898,0.07799999999999985,False,ifm_duration,4
0,True,False,False,0.1374,0.6957453370277733,False,cf_peak_frequency,4
0,True,False,False,0.345,-2.432896851374224,False,tfm_terminal_frequency,4
0,True,False,False,0.278,2.138051974142485,False,ifm_terminal_frequency,4
0,True,False,False,0.4406,1.9244693777647015,False,cf_dbrms,4
0,True,False,False,0.2688,-2.408948902986097,False,tfm_dbrms,4
0,True,False,False,0.288,4.480300191712523,False,ifm_dbrms,4
0,True,False,False,0.8588,-0.17520207661687692,False,tfm-cf_dbratio,4
0,True,False,False,0.6462,0.5964468454638787,False,ifm-cf_dbratio,4
0,True,False,False,0.2106,2.8140425262825737,False,tfm_bw,4
0,True,False,False,0.4282,-1.8248297339368946,False,ifm_bw,4
0,True,False,False,0.2232,-3.067999999999998,False,cf_duration,5
0,True,False,False,0.2074,0.32199999999999984,False,tfm_duration,5
0,True,False,False,0.7862,0.062000000000000055,False,ifm_duration,5
0,True,False,False,0.194,0.6197697796911257,False,cf_peak_frequency,5
0,True,False,False,0.4686,-1.9003245908412936,False,tfm_terminal_frequency,5
0,True,False,False,0.2012,2.6233004213474516,False,ifm_terminal_frequency,5
0,True,False,False,0.4954,1.5232116425395752,False,cf_dbrms,5
0,True,False,False,0.273,-2.408948902986097,False,tfm_dbrms,5
0,True,False,False,0.3122,4.480300191712523,False,ifm_dbrms,5
0,True,False,False,0.8932,-0.17520207661687692,False,tfm-cf_dbratio,5
0,True,False,False,0.4774,1.0225744752861399,False,ifm-cf_dbratio,5
0,True,False,False,0.2456,2.585896163431457,False,tfm_bw,5
0,True,False,False,0.1938,-2.7635173998619926,False,ifm_bw,5
0,True,False,False,0.2094,-3.067999999999998,False,cf_duration,6
0,True,False,False,0.2236,0.35399999999999987,False,tfm_duration,6
0,True,False,False,0.6256,0.09799999999999986,False,ifm_duration,6
0,True,False,False,0.1762,0.6197697796911257,False,cf_peak_frequency,6
0,True,False,False,0.357,-2.432896851374224,False,tfm_terminal_frequency,6
0,True,False,False,0.2862,2.3189173044643496,False,ifm_terminal_frequency,6
0,True,False,False,0.4786,1.5232116425395752,False,cf_dbrms,6
0,True,False,False,0.2436,-2.532928816949365,False,tfm_dbrms,6
0,True,False,False,0.288,4.480300191712523,False,ifm_dbrms,6
0,True,False,False,0.8938,-0.17520207661687692,False,tfm-cf_dbratio,6
0,True,False,False,0.6462,0.5964468454638787,False,ifm-cf_dbratio,6
0,True,False,False,0.2214,2.8140425262825737,False,tfm_bw,6
0,True,False,False,0.5084,-1.6148366175798508,False,ifm_bw,6
0,True,False,False,0.2252,-2.564,False,cf_duration,7
0,True,False,False,0.1882,0.32199999999999984,False,tfm_duration,7
0,True,False,False,0.6172,0.09799999999999986,False,ifm_duration,7
0,True,False,False,0.162,0.6197697796911257,False,cf_peak_frequency,7
0,True,False,False,0.503,-1.9003245908412936,False,tfm_terminal_frequency,7
0,True,False,False,0.2804,2.3189173044643496,False,ifm_terminal_frequency,7
0,True,False,False,0.3628,2.1031618054726096,False,cf_dbrms,7
0,True,False,False,0.257,-2.532928816949365,False,tfm_dbrms,7
0,True,False,False,0.2182,5.642693166285802,False,ifm_dbrms,7
0,True,False,False,0.784,-0.26761808281646093,False,tfm-cf_dbratio,7
0,True,False,False,0.4778,1.1100275173064507,False,ifm-cf_dbratio,7
0,True,False,False,0.252,2.585896163431457,False,tfm_bw,7
0,True,False,False,0.502,-1.8878160738985894,False,ifm_bw,7
0,True,False,False,0.402,-2.1800000000000033,False,cf_duration,8
0,True,False,False,0.184,0.40000000000000013,False,tfm_duration,8
0,True,False,False,0.8456,-0.03600000000000003,False,ifm_duration,8
0,True,False,False,0.1212,0.7853861075549133,False,cf_peak_frequency,8
0,True,False,False,0.1936,-3.33129002309137,False,tfm_terminal_frequency,8
0,True,False,False,0.2228,2.584165386584729,False,ifm_terminal_frequency,8
0,True,False,False,0.5376,1.7453863029390924,False,cf_dbrms,8
0,True,False,False,0.8504,-0.29155597946256506,False,tfm_dbrms,8
0,True,False,False,0.1886,5.7008383895494354,False,ifm_dbrms,8
0,True,False,False,0.4686,0.6706036227832959,False,tfm-cf_dbratio,8
0,True,False,False,0.7158,0.6661335562830262,False,ifm-cf_dbratio,8
0,True,False,False,0.0682,4.387137278592215,False,tfm_bw,8
0,True,False,False,0.3406,-2.263663799012072,False,ifm_bw,8
0,True,False,False,0.2576,-3.067999999999998,False,cf_duration,9
0,True,False,False,0.1902,0.35399999999999987,False,tfm_duration,9
0,True,False,False,0.7872,0.062000000000000055,False,ifm_duration,9
0,True,False,False,0.1444,0.6957453370277733,False,cf_peak_frequency,9
0,True,False,False,0.4506,-1.9003245908412936,False,tfm_terminal_frequency,9
0,True,False,False,0.1976,2.6233004213474516,False,ifm_terminal_frequency,9
0,True,False,False,0.3288,2.4570183658180795,False,cf_dbrms,9
0,True,False,False,0.3282,-2.408948902986097,False,tfm_dbrms,9
0,True,False,False,0.3132,4.480300191712523,False,ifm_dbrms,9
0,True,False,False,0.7776,-0.26761808281646093,False,tfm-cf_dbratio,9
0,True,False,False,0.6578,0.5964468454638787,False,ifm-cf_dbratio,9
0,True,False,False,0.2412,2.585896163431457,False,tfm_bw,9
0,True,False,False,0.3916,-2.2175584872245153,False,ifm_bw,9
0,True,False,False,0.1704,-3.7020000000000017,False,cf_duration,10
0,True,False,False,0.1814,0.35399999999999987,False,tfm_duration,10
0,True,False,False,0.8042,0.062000000000000055,False,ifm_duration,10
0,True,False,False,0.1446,0.6957453370277733,False,cf_peak_frequency,10
0,True,False,False,0.3508,-2.432896851374224,False,tfm_terminal_frequency,10
0,True,False,False,0.2618,2.6233004213474516,False,ifm_terminal_frequency,10
0,True,False,False,0.4366,1.9244693777647015,False,cf_dbrms,10
0,True,False,False,0.2698,-2.408948902986097,False,tfm_dbrms,10
0,True,False,False,0.2008,5.356999690507358,False,ifm_dbrms,10
0,True,False,False,0.8886,-0.17520207661687692,False,tfm-cf_dbratio,10
0,True,False,False,0.5916,0.6158330429170977,False,ifm-cf_dbratio,10
0,True,False,False,0.2064,2.8140425262825737,False,tfm_bw,10
0,True,False,False,0.2282,-2.7635173998619926,False,ifm_bw,10
0,False,False,True,0.13,-3.9559999999999977,False,cf_duration,11
0,True,False,False,0.2922,0.30800000000000005,False,tfm_duration,11
0,True,False,False,0.8912,-0.028000000000000025,False,ifm_duration,11
0,True,False,False,0.2276,0.5256561933580599,False,cf_peak_frequency,11
0,True,False,False,0.2064,-3.239779057690484,False,tfm_terminal_frequency,11
0,True,False,False,0.21,2.662435456110174,False,ifm_terminal_frequency,11
0,True,False,False,0.5442,1.7453863029390924,False,cf_dbrms,11
0,True,False,False,0.098,-4.399541511667721,False,tfm_dbrms,11
0,True,False,False,0.3658,4.422154968448893,False,ifm_dbrms,11
0,True,False,False,0.513,0.6706036227832959,False,tfm-cf_dbratio,11
0,True,False,False,0.6912,0.5267601346447313,False,ifm-cf_dbratio,11
0,True,False,False,0.0934,3.9945079788330347,False,tfm_bw,11
0,True,False,False,0.2756,-2.4444326317556984,False,ifm_bw,11
0,True,False,False,0.2168,-3.067999999999998,False,cf_duration,12
0,True,False,False,0.1954,0.35399999999999987,False,tfm_duration,12
0,True,False,False,0.696,0.07799999999999985,False,ifm_duration,12
0,True,False,False,0.1572,0.6957453370277733,False,cf_peak_frequency,12
0,True,False,False,0.3274,-2.3137037539274985,False,tfm_terminal_frequency,12
0,True,False,False,0.1978,2.6233004213474516,False,ifm_terminal_frequency,12
0,True,False,False,0.4458,1.9244693777647015,False,cf_dbrms,12
0,True,False,False,0.29,-2.408948902986097,False,tfm_dbrms,12
0,True,False,False,0.2446,5.356999690507358,False,ifm_dbrms,12
0,True,False,False,0.8494,-0.26761808281646093,False,tfm-cf_dbratio,12
0,True,False,False,0.4898,0.9854417202514174,False,ifm-cf_dbratio,12
