,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,bca_low,bca_high,measurement,fold_number
0,True,False,False,0.2186,-1.46484375,False,-4.39453125,1.46484375,random_value,1
0,True,False,False,0.3464,1.220703125,False,-1.708984375,3.41796875,random_value,2
0,True,False,False,0.1328,-1.953125,False,-3.90625,0.48828125,random_value,3
0,True,False,False,0.4516,-0.9765625,False,-3.41796875,3.173828125,random_value,4
0,True,False,False,0.0582,-1.953125,False,-3.90625,1.220703125,random_value,5
0,True,False,False,0.2214,1.46484375,False,-2.9296875,2.9296875,random_value,6
0,True,False,False,0.2306,-1.220703125,False,-3.173828125,0.0,random_value,7
0,True,False,False,0.1088,-1.953125,False,-4.39453125,0.9765625,random_value,8
0,True,False,False,0.4788,-0.732421875,False,-3.41796875,1.46484375,random_value,9
0,False,False,True,0.424,-0.9765625,False,-0.9765625,-0.9765625,random_value,10
0,True,False,False,0.2162,-1.220703125,False,-4.8828125,1.953125,random_value,11
0,False,False,True,0.0514,-1.953125,False,-4.39453125,-0.48828125,random_value,12
0,True,False,False,0.1996,1.708984375,False,-1.953125,3.662109375,random_value,13
0,True,False,False,0.1712,1.46484375,False,-3.41796875,2.9296875,random_value,14
0,True,False,False,0.2344,1.46484375,False,-1.708984375,3.662109375,random_value,15
0,True,False,False,0.1992,-1.46484375,False,-3.41796875,1.953125,random_value,16
0,False,False,True,0.0522,-2.44140625,False,-4.8828125,-0.9765625,random_value,17
0,True,False,False,0.1736,-1.708984375,False,-4.150390625,0.0,random_value,18
0,True,False,False,0.0112,-2.9296875,True,-4.39453125,0.48828125,random_value,19
0,True,False,False,0.4158,-0.48828125,False,-2.9296875,0.9765625,random_value,20
0,True,False,False,0.854,0.0,False,-2.9296875,0.9765625,random_value,21
0,False,False,True,0.2586,-0.9765625,False,-4.39453125,-0.9765625,random_value,22
0,True,False,False,0.19,-1.220703125,False,-2.9296875,0.48828125,random_value,23
0,False,False,True,0.0068,-2.9296875,True,-2.9296875,-2.9296875,random_value,24
0,False,True,False,0.358,0.9765625,False,0.9765625,0.9765625,random_value,25
0,False,False,True,0.633,-0.48828125,False,-0.48828125,-0.48828125,random_value,26
0,True,False,False,0.727,0.0,False,-3.90625,0.9765625,random_value,27
0,True,False,False,0.0648,-2.197265625,False,-3.90625,1.220703125,random_value,28
0,True,False,False,0.723,-0.244140625,False,-3.41796875,1.46484375,random_value,29
0,True,False,False,0.8928,0.0,False,-2.9296875,2.44140625,random_value,30
0,False,False,True,0.0316,-2.685546875,True,-5.126953125,-0.48828125,random_value,31
0,True,False,False,0.3634,-0.48828125,False,-1.953125,0.9765625,random_value,32
0,True,False,False,0.956,0.0,False,-3.90625,1.953125,random_value,33
0,False,True,False,0.4976,0.48828125,False,0.48828125,0.48828125,random_value,34
0,True,False,False,0.079,-2.197265625,False,-4.8828125,0.244140625,random_value,35
0,True,False,False,0.9254,0.0,False,0.0,0.0,random_value,36
0,False,False,True,0.0228,-2.685546875,True,-6.103515625,-1.46484375,random_value,37
0,True,False,False,0.5066,-0.48828125,False,-5.37109375,1.953125,random_value,38
0,True,False,False,0.8176,-0.244140625,False,-2.685546875,1.708984375,random_value,39
0,False,False,True,0.5782,-0.48828125,False,-0.48828125,-0.48828125,random_value,40
0,False,False,True,0.2278,-0.9765625,False,-0.9765625,-0.9765625,random_value,41
0,True,False,False,0.172,-1.708984375,False,-4.39453125,1.220703125,random_value,42
0,True,False,False,0.511,0.48828125,False,-2.9296875,2.44140625,random_value,43
0,True,False,False,0.2646,0.9765625,False,-0.9765625,3.41796875,random_value,44
0,True,False,False,0.2898,-0.9765625,False,-3.41796875,0.9765625,random_value,45
0,True,False,False,0.1068,-1.46484375,False,-3.41796875,0.0,random_value,46
0,False,True,False,0.686,0.48828125,False,0.48828125,0.48828125,random_value,47
0,True,False,False,0.1874,-1.953125,False,-4.638671875,0.0,random_value,48
0,True,False,False,0.0938,-1.953125,False,-5.859375,0.0,random_value,49
0,True,False,False,0.8414,0.244140625,False,-2.44140625,2.44140625,random_value,50
0,True,False,False,0.1572,-1.708984375,False,-3.90625,0.9765625,random_value,51
0,True,False,False,0.3826,1.220703125,False,-1.46484375,4.39453125,random_value,52
0,True,False,False,0.2588,0.9765625,False,-2.44140625,3.41796875,random_value,53
0,True,False,False,0.0932,-1.708984375,False,-3.90625,0.244140625,random_value,54
0,True,False,False,0.4172,-0.9765625,False,-3.90625,1.46484375,random_value,55
0,False,False,True,0.003,-3.173828125,True,-5.859375,-1.953125,random_value,56
0,True,False,False,0.5242,-0.48828125,False,-5.126953125,2.44140625,random_value,57
0,True,False,False,0.6824,0.244140625,False,-2.685546875,2.197265625,random_value,58
0,False,False,True,0.365,-0.9765625,False,-0.9765625,-0.9765625,random_value,59
0,True,False,False,0.1662,-2.197265625,False,-4.8828125,0.244140625,random_value,60
0,True,False,False,0.2262,-1.220703125,False,-3.41796875,0.48828125,random_value,61
0,True,False,False,0.3834,-1.220703125,False,-2.44140625,1.953125,random_value,62
0,True,False,False,0.3724,-0.9765625,False,-2.9296875,0.0,random_value,63
0,True,False,False,0.1502,-1.220703125,False,-2.9296875,1.708984375,random_value,64
0,True,False,False,0.5768,0.48828125,False,-3.90625,1.46484375,random_value,65
0,True,False,False,0.1038,-1.953125,False,-4.150390625,0.0,random_value,66
0,True,False,False,0.2064,-1.46484375,False,-4.150390625,0.48828125,random_value,67
0,True,False,False,0.5458,-0.732421875,False,-4.150390625,2.685546875,random_value,68
0,False,False,True,0.0574,-2.44140625,False,-2.44140625,-2.44140625,random_value,69
0,True,False,False,0.485,-0.732421875,False,-2.9296875,0.9765625,random_value,70
0,True,False,False,0.8416,0.0,False,-1.953125,3.90625,random_value,71
0,True,False,False,0.3168,-1.220703125,False,-4.638671875,1.46484375,random_value,72
0,True,False,False,0.1246,-1.953125,False,-4.39453125,1.220703125,random_value,73
0,False,False,True,0.3116,-0.9765625,False,-0.9765625,-0.9765625,random_value,74
0,True,False,False,0.1688,-1.46484375,False,-3.662109375,1.953125,random_value,75
0,False,False,True,0.4736,-0.48828125,False,-0.48828125,-0.48828125,random_value,76
0,True,False,False,0.3538,-0.9765625,False,-3.41796875,0.9765625,random_value,77
0,True,False,False,0.218,-0.9765625,False,-3.41796875,0.9765625,random_value,78
0,True,False,False,0.1204,-1.46484375,False,-3.41796875,0.48828125,random_value,79
0,False,True,False,0.6114,0.48828125,False,0.48828125,0.48828125,random_value,80
0,True,False,False,0.311,-0.9765625,False,-2.44140625,0.9765625,random_value,81
0,True,False,False,0.9438,0.0,False,-2.9296875,1.953125,random_value,82
0,True,False,False,0.5988,-0.48828125,False,-2.44140625,0.9765625,random_value,83
0,True,False,False,0.4906,0.48828125,False,-2.9296875,2.9296875,random_value,84
0,True,False,False,0.4244,-0.9765625,False,-3.90625,1.46484375,random_value,85
0,True,False,False,0.9182,-0.244140625,False,-2.44140625,3.90625,random_value,86
0,True,False,False,0.2254,-0.9765625,False,-2.9296875,0.9765625,random_value,87
0,True,False,False,0.3072,0.9765625,False,-2.44140625,1.953125,random_value,88
0,True,False,False,0.691,-0.244140625,False,-2.197265625,1.953125,random_value,89
0,True,False,False,0.7436,0.0,False,-3.41796875,1.953125,random_value,90
0,True,False,False,0.2668,-1.220703125,False,-3.173828125,1.46484375,random_value,91
0,True,False,False,0.0796,-2.197265625,False,-4.39453125,0.48828125,random_value,92
0,False,False,True,0.2028,-1.46484375,False,-1.46484375,-1.46484375,random_value,93
0,True,False,False,0.2602,-1.46484375,False,-4.39453125,0.9765625,random_value,94
0,True,False,False,0.8042,0.244140625,False,-2.685546875,3.173828125,random_value,95
0,True,False,False,0.3372,-0.9765625,False,-3.41796875,0.9765625,random_value,96
0,False,False,True,0.0444,-2.197265625,True,-3.90625,-0.48828125,random_value,97
0,True,False,False,0.6852,0.0,False,0.0,0.0,random_value,98
0,True,False,False,0.229,0.9765625,False,-2.9296875,2.44140625,random_value,99
0,True,False,False,0.7844,0.0,False,-2.9296875,1.46484375,random_value,100
0,True,False,False,0.4024,-1.220703125,False,-3.90625,1.46484375,random_value,101
0,True,False,False,0.1346,-1.953125,False,-4.39453125,0.48828125,random_value,102
0,True,False,False,0.5516,-0.732421875,False,-2.9296875,1.46484375,random_value,103
0,False,False,True,0.1728,-1.953125,False,-1.953125,-1.953125,random_value,104
0,True,False,False,0.3456,-1.220703125,False,-3.41796875,0.9765625,random_value,105
0,True,False,False,0.7328,0.0,False,-1.953125,2.44140625,random_value,106
0,False,False,True,0.2892,-0.9765625,False,-0.9765625,-0.9765625,random_value,107
0,True,False,False,0.6658,0.0,False,-2.9296875,2.44140625,random_value,108
0,True,False,False,0.4272,-0.9765625,False,-3.41796875,2.9296875,random_value,109
0,True,False,False,0.3952,0.9765625,False,-1.46484375,4.39453125,random_value,110
0,True,False,False,0.6732,0.48828125,False,-3.90625,2.9296875,random_value,111
0,True,False,False,0.5736,-0.244140625,False,-2.197265625,1.220703125,random_value,112
0,True,False,False,0.2424,1.220703125,False,-0.48828125,2.9296875,random_value,113
