,ci_has_zero,ci_above_zero,ci_below_zero,perm_pvalue,difference,perm_pvalue_signif,bca_low,bca_high,measurement,fold_number
0,True,False,False,0.2294,-2.8840000000000003,False,-7.315999999999999,1.5800000000000036,cf_duration,1
0,True,False,False,0.1476,0.35399999999999987,False,-0.33599999999999985,1.0999999999999999,tfm_duration,1
0,True,False,False,0.802,0.062000000000000055,False,-0.4299999999999998,0.748,ifm_duration,1
0,True,False,False,0.1756,0.6197697796911257,False,-0.4650299863873215,1.7127633959316597,cf_peak_frequency,1
0,True,False,False,0.4392,-1.9003245908412936,False,-5.240475922839636,3.5412359100913875,tfm_terminal_frequency,1
0,True,False,False,0.18,2.6233004213474516,False,-4.016158996595323,5.626129304191338,ifm_terminal_frequency,1
0,True,False,False,0.4546,1.5232116425395752,False,-8.726588660374098,6.509814490939039,cf_dbrms,1
0,True,False,False,0.2494,-3.145036544262851,False,-8.503946120133342,6.555357497253237,tfm_dbrms,1
0,True,False,False,0.3844,3.5447550847256366,False,-9.440132715494904,11.576028811963376,ifm_dbrms,1
0,True,False,False,0.8928,-0.17520207661687692,False,-4.789918902003069,3.5001282254272503,tfm-cf_dbratio,1
0,True,False,False,0.4164,1.1100275173064507,False,-0.8893139769446794,4.41791217362125,ifm-cf_dbratio,1
0,True,False,False,0.2084,2.585896163431457,False,-3.7203948440497836,5.945992397016514,tfm_bw,1
0,True,False,False,0.1606,-2.8681197919101464,False,-6.139533224806582,3.150047607853951,ifm_bw,1
0,True,False,False,0.2698,-2.8080000000000034,False,-7.863999999999997,2.128,cf_duration,2
0,True,False,False,0.1594,0.40000000000000013,False,-0.5279999999999998,1.184,tfm_duration,2
0,True,False,False,0.8186,-0.03600000000000003,False,-0.522,0.7880000000000003,ifm_duration,2
0,True,False,False,0.189,0.7138833660241772,False,-0.4097064501648333,1.7350557244174212,cf_peak_frequency,2
0,True,False,False,0.1472,-3.239779057690484,False,-6.788530412014325,1.8783244680851254,tfm_terminal_frequency,2
0,True,False,False,0.2098,2.4666841835772004,False,-3.5834589132169015,9.428014130804357,ifm_terminal_frequency,2
0,True,False,False,0.6656,0.9428708324888397,False,-9.450062533009739,6.6771753554693625,cf_dbrms,2
0,True,False,False,0.5136,-1.6425717489314309,False,-8.792542407763538,8.093711903356418,tfm_dbrms,2
0,True,False,False,0.3102,4.8241388907546,False,-10.336231760550945,14.04717402526951,ifm_dbrms,2
0,True,False,False,0.511,0.7851787466364426,False,-3.2375393477300456,4.019030370301169,tfm-cf_dbratio,2
0,True,False,False,0.3828,1.3903830196563502,False,-1.4815482690846151,5.180952036557255,ifm-cf_dbratio,2
0,True,False,False,0.0478,3.9945079788330347,True,-1.5362807190826135,6.8730270464227665,tfm_bw,2
0,True,False,False,0.388,-2.3159649950361487,False,-6.416873031294294,4.372717797594131,ifm_bw,2
0,True,False,False,0.1814,-3.1980000000000004,False,-8.56,1.2120000000000015,cf_duration,3
0,True,False,False,0.1954,0.3859999999999997,False,-0.33599999999999985,1.088,tfm_duration,3
0,True,False,False,0.6272,0.07799999999999985,False,-0.37,0.7320000000000002,ifm_duration,3
0,True,False,False,0.231,0.5671155509040773,False,-0.5258227850007842,1.6918674206895474,cf_peak_frequency,3
0,True,False,False,0.4496,-1.9003245908412936,False,-5.256511942576964,3.5412359100913875,tfm_terminal_frequency,3
0,True,False,False,0.2494,2.6233004213474516,False,-2.1518086669115064,8.183545397213024,ifm_terminal_frequency,3
0,True,False,False,0.4844,1.307477681206521,False,-8.895625281597237,6.307768142676036,cf_dbrms,3
0,True,False,False,0.178,-3.787208929762805,False,-8.792542407763538,6.199784090937971,tfm_dbrms,3
0,True,False,False,0.3452,3.4859094765335854,False,-9.440132715494904,10.858282596246902,ifm_dbrms,3
0,True,False,False,0.8804,-0.17520207661687692,False,-4.905129422444601,3.4730430226189,tfm-cf_dbratio,3
0,True,False,False,0.427,1.2346133143614821,False,-0.8883271791953176,4.41791217362125,ifm-cf_dbratio,3
0,True,False,False,0.2168,2.585896163431457,False,-3.75455092379298,5.900484605286255,tfm_bw,3
0,True,False,False,0.3884,-2.2175584872245153,False,-6.139533224806582,3.6614971939306216,ifm_bw,3
0,True,False,False,0.1736,-4.2520000000000024,False,-9.87,0.6659999999999968,cf_duration,4
